Title,Content,Link,Summary,Preprocessed_Content,Date
內地增八市港澳“自由行”,簽發覆蓋全國59省市自治區    內地增八市港澳“自由行”    【本報消息】內地再開放八個城市赴港澳“自由行”，這些城市集中在東北、西北等內陸地區，包括太原、呼和浩特、哈爾濱、拉薩、蘭州、西寧、銀川、烏魯木齊，本月廿七日起實施，有關城市的居民即日起可提交申請。連同今年二月增加的西安、青島，赴港澳“自由行”城市增至五十九個，亦使版圖全面覆蓋內地所有省、自治區、直轄市。    本月廿七日即實施    國家出入境管理局昨日發佈公告，經國務院批准，中華人民共和國出入境管理局決定自五月廿七日起，為山西省太原市、內蒙古自治區呼和浩特市、黑龍江省哈爾濱市、西藏自治區拉薩市、甘肅省蘭州市、青海省西寧市、寧夏回族自治區銀川市、新疆維吾爾自治區烏魯木齊市的八個城市符合條件人員簽發往來港澳“個人旅遊簽註”。    即日起，上述八個城市戶籍居民及居住證持有人可向當地公安機關出入境管理人工窗口，或設在人工窗口的智能簽註設備提交申請，辦理“個人旅遊簽註”或“團隊旅遊簽註”。“個人旅遊簽註”包括：赴香港三個月一次簽註、三個月兩次簽註、一年一次簽註、一年兩次簽註；赴澳門三個月一次簽註、一年一次簽註。簽註持有人每次在香港或澳門逗留期限不超過七天。    年初增加西安青島    早在今年二月廿三日，國務院批准了增加陝西省西安市、山東省青島市為內地赴港澳“個人遊”〈自由行〉城市，令當時獲准簽發往來港澳“個人旅遊簽註”的內地城市增加至五十一個。今次再增八個，將達五十九個。    原本的“自由行”城市所在的省份及自治區並未包含山西省、內蒙古自治區、黑龍江省、西藏自治區、甘肅省、青海省、寧夏回族自治區、新疆維吾爾自治區。此次的新開放，令全國所有省和自治區都有“自由行”城市。,http://www.macaodaily.com/html/2024-05/12/content_1754421.htm,本月廿七日即實施    國家出入境管理局昨日發佈公告，經國務院批准，中華人民共和國出入境管理局決定自五月廿七日起，為山西省太原市、內蒙古自治區呼和浩特市、黑龍江省哈爾濱市、西藏自治區拉薩市、甘肅省蘭州市、青海省西寧市、寧夏回族自治區銀川市、新疆維吾爾自治區烏魯木齊市的八個城市符合條件人員簽發往來港澳“個人旅遊簽註”,簽發 覆蓋 全國 59 省市 自治 區         內地 增八市 港澳 “ 自由 行 ”         【 本報 消息 】 內地 再 開放八個 城市 赴 港澳 “ 自由 行 ” ， 這些 城市 集中 在 東北 、 西北 等 內陸 地區 ， 包括 太原 、 呼和浩特 、 哈爾濱 、 拉薩 、 蘭州 、 西寧 、 銀川 、 烏魯木齊 ， 本月 廿七日 起實施 ， 有關 城市 的 居民 即日起 可 提交 申請 。 連同 今年 二月 增加 的 西安 、 青島 ， 赴 港澳 “ 自由 行 ” 城市 增至 五十九 個 ， 亦 使版圖 全面 覆蓋 內 地 所有 省 、 自治 區 、 直轄市 。         本月 廿七日 即 實施         國家 出入境 管理局 昨日 發 佈 公告 ， 經國務院 批准 ， 中華 人民 共和 國 出入境 管理局 決定 自 五月 廿七日 起 ， 為 山西省 太原市 、 內 蒙古 自治 區 呼和浩特市 、 黑龍江省 哈爾濱市 、 西藏自治 區拉薩市 、 甘肅 省蘭 州市 、 青海省 西寧市 、 寧夏 回族 自治 區銀川市 、 新疆 維吾爾 自治 區烏魯木 齊市 的 八個 城市 符合 條件 人員 簽發 往來 港澳 “ 個 人 旅遊 簽 註 ” 。         即日起 ， 上述 八個 城市 戶籍 居民 及 居住 證 持有人 可向 當地 公安 機關 出入境 管理 人工 窗口 ， 或設 在 人工 窗口 的 智能 簽 註 設 備 提交 申請 ， 辦理 “ 個 人 旅遊 簽 註 ” 或 “ 團隊 旅遊 簽 註 ” 。 “ 個 人 旅遊 簽 註 ” 包括 ： 赴 香港 三個 月 一次 簽 註 、 三個 月 兩次 簽 註 、 一年 一次 簽 註 、 一年 兩次 簽 註 ； 赴 澳門 三個 月 一次 簽 註 、 一年 一次 簽 註 。 簽 註 持有人 每次 在 香港 或 澳門 逗留 期限 不超過 七天 。         年初 增加 西安 青島         早 在 今年 二月 廿三日 ， 國務院 批准 了 增加 陝西省 西安市 、 山東省 青島市 為 內 地 赴 港澳 “ 個 人遊 ” 〈 自由 行 〉 城市 ， 令當時 獲准 簽發 往來 港澳 “ 個 人 旅遊 簽 註 ” 的 內 地 城市 增加 至 五十一 個 。 今次 再 增八個 ， 將達 五十九 個 。         原本 的 “ 自由 行 ” 城市 所在 的 省份 及 自治 區並 未 包含 山西省 、 內 蒙古 自治 區 、 黑龍江省 、 西藏自治 區 、 甘肅省 、 青海省 、 寧夏 回族 自治 區 、 新疆 維吾爾 自治 區 。 此次 的 新 開放 ， 令 全國 所有 省 和 自治 區都 有 “ 自由 行 ” 城市 。,2024-05-12
特首：續優化旅遊設施迎客,感謝中央再推惠澳措施    特首：續優化旅遊設施迎客    【本報消息】新聞局訊：國家出入境管理局昨日公佈，國務院批准增加山西省太原市、內蒙古自治區呼和浩特市、黑龍江省哈爾濱市、西藏自治區拉薩市、甘肅省蘭州市、青海省西寧市、寧夏回族自治區銀川市、新疆維吾爾自治區烏魯木齊市八個省會城市為內地赴港澳“個人遊”城市，並自五月廿七日起在相關城市為符合條件人員簽發往來港澳“個人旅遊簽註”。行政長官賀一誠代表澳門特區政府衷心感謝中央政府再次推出惠澳措施，特區政府將充分把握惠澳舉措機遇，聯同業界不斷優化本澳旅遊設施，提高接待能力，助力經濟發展，加快澳門融入國家發展大局的步伐。    完善通關交通安排    賀一誠表示，是次將“個人遊”城市增加多八個城市，覆蓋客源數量令人振奮，必將進一步為澳門的零售及旅遊業帶來更強勁的經濟效益。為迎接更多旅客到訪，特區政府將致力推動舉辦更多國際盛事，豐富會展商貿和文化體育的內涵，為旅客創造多元化的旅遊體驗，並優化及提升接待能力，完善出入境措施、通關及交通安排等。此外，今年將迎來新中國七十五周年華誕和澳門回歸祖國廿五周年，將以更精彩繽紛的氛圍展現多元豐富的“旅遊＋”元素。特區政府與業界合作，為迎接增加八個省會城市的“個人遊”旅客作好充份準備。    賀一誠再次感謝國家出入境管理局和相關中央部委對澳門旅遊發展的支持，並期望彼此間繼續加強交流合作，共同為內地同胞赴澳旅遊創設更多的良好條件。    赴港澳“個人遊”政策自二○○三年實施以來，內地訪澳旅客數量大幅增長，帶動了澳門旅遊業以至相關聯的商業活動持續增長。是次再增加八個“個人遊”城市的安排，相信可大量刺激內地旅客來澳旅遊，增進內地與澳門居民的人文交往和認同感，為澳門帶來更顯著的經濟效益。,http://www.macaodaily.com/html/2024-05/12/content_1754422.htm,感謝中央再推惠澳措施    特首：續優化旅遊設施迎客    【本報消息】新聞局訊：國家出入境管理局昨日公佈，國務院批准增加山西省太原市、內蒙古自治區呼和浩特市、黑龍江省哈爾濱市、西藏自治區拉薩市、甘肅省蘭州市、青海省西寧市、寧夏回族自治區銀川市、新疆維吾爾自治區烏魯木齊市八個省會城市為內地赴港澳“個人遊”城市，並自五月廿七日起在相關城市為符合條件人員簽發往來港澳“個人旅遊簽註”,感謝 中央 再 推惠澳 措施         特首 ： 續 優化 旅遊 設施 迎客         【 本報 消息 】 新聞局 訊 ： 國家 出入境 管理局 昨日 公 佈 ， 國務院 批准 增加 山西省 太原市 、 內 蒙古 自治 區 呼和浩特市 、 黑龍江省 哈爾濱市 、 西藏自治 區拉薩市 、 甘肅 省蘭 州市 、 青海省 西寧市 、 寧夏 回族 自治 區銀川市 、 新疆 維吾爾 自治 區烏魯木齊 市八個 省會 城市 為 內 地 赴 港澳 “ 個 人遊 ” 城市 ， 並自 五月 廿七日 起 在 相關 城市 為 符合 條件 人員 簽發 往來 港澳 “ 個 人 旅遊 簽 註 ” 。 行政 長 官賀 一 誠 代表 澳門 特區 政府 衷心 感謝 中央政府 再次 推出 惠澳 措施 ， 特區 政府 將 充分 把握 惠澳舉 措機遇 ， 聯同業界 不斷 優化 本澳 旅遊 設施 ， 提高 接待 能力 ， 助力 經濟 發展 ， 加快 澳門 融入 國家 發展 大局 的 步伐 。         完善 通關 交通 安排         賀一 誠 表示 ， 是 次將 “ 個 人遊 ” 城市 增加 多八個 城市 ， 覆蓋 客源 數量 令人 振奮 ， 必將 進 一步 為 澳門 的 零售 及 旅遊業 帶來 更 強勁 的 經濟 效益 。 為 迎接 更 多 旅客 到訪 ， 特區 政府 將 致力 推動 舉辦 更 多國際 盛事 ， 豐富會 展商 貿和 文化 體育 的 內涵 ， 為 旅客 創造 多元化 的 旅遊 體驗 ， 並優化 及 提升 接待 能力 ， 完善 出入境 措施 、 通關 及 交通 安排 等 。 此外 ， 今年 將迎 來 新 中國 七十五 周年 華誕 和 澳門 回歸祖國 廿五 周年 ， 將以 更 精彩 繽紛 的 氛圍 展現 多元 豐富 的 “ 旅遊 ＋ ” 元素 。 特區 政府 與業界 合作 ， 為 迎接 增加 八個 省會 城市 的 “ 個 人遊 ” 旅客 作好 充份 準備 。         賀一 誠 再次 感謝 國家 出入境 管理局 和 相關 中央 部委 對 澳門 旅遊 發展 的 支持 ， 並 期望 彼此 間 繼續 加強 交流 合作 ， 共同 為 內 地 同胞 赴 澳 旅遊 創設 更 多 的 良好 條件 。         赴 港澳 “ 個 人遊 ” 政策 自二 ○ ○ 三年 實 施以 來 ， 內地 訪澳 旅客 數量 大幅 增長 ， 帶動 了 澳門 旅遊業 以至 相關聯 的 商業 活動 持續 增長 。 是 次 再 增加 八個 “ 個 人遊 ” 城市 的 安排 ， 相信 可 大量 刺激 內地 旅客 來澳 旅遊 ， 增進 內 地 與 澳門 居民 的 人文 交往 和 認 同感 ， 為 澳門 帶來 更 顯著 的 經濟 效益 。,2024-05-12
旅遊局：鼓勵業界提升服務 貿促局：着力推廣澳門優勢,旅遊局：鼓勵業界提升服務    貿促局：着力推廣澳門優勢    【本報消息】旅遊局 / 澳門貿易投資促進局訊：國家出入境管理局昨日公佈，國務院批准增加八個省會城市為內地赴港澳“個人遊”城市，並自五月廿七日起在相關城市為符合條件人員簽發往來港澳“個人旅遊簽註”。旅遊局表示，將會繼續把握中央惠澳舉措機遇，全力做好宣傳工作，擴大客源，進一步促進澳門旅遊經濟。    優化澳旅遊資源    旅遊局積極準備迎接增加八個省會城市的“個人遊”旅客，並鼓勵業界繼續共同做好推廣宣傳工作，不斷提升產品和服務質素，為旅客創造多元化的旅遊體驗。會繼續聯同旅遊業界不斷優化澳門旅遊資源和接待能力，全力用好中央的惠澳舉措。    澳門貿易投資促進局表示，將與業界緊密溝通，着力面向相關城市商旅行業推廣澳門營商環境、會展商貿、葡語國家及澳門特色商品等優勢。    八市旅客需求大    隨着內地訪澳旅客數量不斷增長，對澳門整體經濟發展起着推動作用。有會展業界表示，是次新增的八個城市，潛在的旅客需求龐大。而且是次新增的城市與澳門距離較遠，相信旅程安排留澳過夜機會增加，可深入地體驗了解澳門的經濟發展情況，有助促進澳門旅遊業、酒店業、會展商貿等相關行業發展。,http://www.macaodaily.com/html/2024-05/12/content_1754423.htm,旅遊局：鼓勵業界提升服務    貿促局：着力推廣澳門優勢    【本報消息】旅遊局 / 澳門貿易投資促進局訊：國家出入境管理局昨日公佈，國務院批准增加八個省會城市為內地赴港澳“個人遊”城市，並自五月廿七日起在相關城市為符合條件人員簽發往來港澳“個人旅遊簽註”,旅遊局 ： 鼓勵 業界 提升 服務         貿促局 ： 着 力推 廣澳門 優勢         【 本報 消息 】 旅遊局   /   澳門 貿易 投資促 進局 訊 ： 國家 出入境 管理局 昨日 公 佈 ， 國務院 批准 增加 八個 省會 城市 為 內 地 赴 港澳 “ 個 人遊 ” 城市 ， 並自 五月 廿七日 起 在 相關 城市 為 符合 條件 人員 簽發 往來 港澳 “ 個 人 旅遊 簽 註 ” 。 旅遊局 表示 ， 將會 繼續 把握 中央 惠澳舉 措機遇 ， 全力 做好 宣傳 工作 ， 擴大 客源 ， 進 一步 促進 澳門 旅遊 經濟 。         優化澳 旅遊 資源         旅遊局 積極 準備 迎接 增加 八個 省會 城市 的 “ 個 人遊 ” 旅客 ， 並鼓勵 業界 繼續 共同 做好 推廣 宣傳 工作 ， 不斷 提升 產品 和服 務質素 ， 為 旅客 創造 多元化 的 旅遊 體驗 。 會繼續 聯同 旅遊業界 不斷 優化 澳門 旅遊 資源 和 接待 能力 ， 全力 用 好 中央 的 惠澳 舉措 。         澳門 貿易 投資促 進局 表示 ， 將與業界 緊密 溝通 ， 着力 面向 相關 城市 商旅 行業 推廣澳門 營商 環境 、 會 展商 貿 、 葡語 國家及 澳門 特色 商品 等 優勢 。         八市 旅客 需求 大         隨着 內 地訪 澳 旅客 數量 不斷 增長 ， 對 澳門 整體 經濟 發展 起 着 推動 作用 。 有會 展業界 表示 ， 是 次 新增 的 八個 城市 ， 潛在 的 旅客 需求 龐大 。 而且 是 次 新增 的 城市 與 澳門 距離 較 遠 ， 相信 旅程 安排 留澳 過夜 機會 增加 ， 可 深入 地體驗 了解 澳門 的 經濟 發展 情況 ， 有助 促進 澳門 旅遊業 、 酒店 業 、 會 展商 貿等 相關 行業 發展 。,2024-05-12
舊橋行人路重開跑友再臨,舊橋行人路重開跑友再臨    【本報消息】時隔七個月，嘉樂庇總督大橋兩側行人路昨日重新開放，下午在氹仔端橋頭所見，行人路入口已沒有水馬或圍欄阻隔，設置的交通指示牌則用黑布覆蓋。    原訂於上月重開的大橋兩側行人路因工程延至昨日。中午過後，氹仔海濱休憩區已有“跑友”準備就緒再次“跑橋”，亦有旅客步行至橋上拍照“打卡”，紀念大橋行人道重新開放。    據公共建設局早前表示，餘下於海上搭架開展的維修工作於今年七月完工，因工程帶來的不便，局方感謝居民多月來的諒解。    據悉，嘉樂庇總督大橋是唯一允許行人通行的大橋，但行人通行方向須與車輛行駛的方向相反，並禁止攜帶體積超過行人道寬度的物品，違者可被罰款五百至二千五百元。,http://www.macaodaily.com/html/2024-05/12/content_1754424.htm,舊橋行人路重開跑友再臨    【本報消息】時隔七個月，嘉樂庇總督大橋兩側行人路昨日重新開放，下午在氹仔端橋頭所見，行人路入口已沒有水馬或圍欄阻隔，設置的交通指示牌則用黑布覆蓋,舊橋 行人 路 重開 跑友 再臨         【 本報 消息 】 時 隔七個 月 ， 嘉樂 庇 總督大橋 兩側 行人 路 昨日 重新 開放 ， 下午 在 氹 仔端 橋頭 所見 ， 行人 路 入口 已 沒 有 水馬 或 圍欄 阻隔 ， 設置 的 交通 指示牌 則用 黑布 覆蓋 。         原訂 於 上 月 重開 的 大橋 兩側 行人 路因 工程 延至 昨日 。 中午 過後 ， 氹 仔海濱 休憩 區 已有 “ 跑友 ” 準備 就緒 再次 “ 跑橋 ” ， 亦 有 旅客 步行 至橋 上 拍照 “ 打卡 ” ， 紀念大橋 行人 道 重新 開放 。         據 公共 建設局 早前 表示 ， 餘下 於 海上 搭架 開展 的 維修 工作 於 今年 七月 完工 ， 因 工程 帶來 的 不便 ， 局方 感謝 居民 多月 來 的 諒解 。         據悉 ， 嘉樂 庇 總督大橋 是 唯一 允許 行人 通行 的 大橋 ， 但 行人 通行 方向 須與 車輛 行駛 的 方向 相反 ， 並 禁止 攜帶 體積 超過 行人 道 寬度 的 物品 ， 違者 可 被 罰款 五百 至 二千五百元 。,2024-05-12
電熱水爐爆炸冧牆無傷,疑機件故障引致    電熱水爐爆炸冧牆無傷    【本報消息】沙梨頭新街聯薪廣場第三座某單位昨晚發生電熱水爐爆炸事故，導致涉事單位部分牆身倒塌，波及至少三個單位玻璃門窗損壞，事故中幸無人受傷及引發火警。經工務局檢查，認為單位沒有即時危險，消防將有倒塌危險的牆身及受損的玻璃窗拆除後，收隊離開。    殃及鄰近單位    事發於昨晚八時許，消防接獲沙梨頭新街聯薪廣場第三座某單位發生一宗電熱水爐爆炸事件，消防員到場時在單位內沒有明火。經了解，單位內有部分牆身倒塌，事件波及鄰近單位牆身有裂痕及有三個單位玻璃門窗損壞，現場沒有傷者，約有三十名大廈住戶曾自行疏散到街上。經檢查，事故原因懷疑電熱水爐機件故障引致。事件已通知土地工務局跟進，經工務局檢查後認為沒有即時危險，事故原因懷疑電熱水爐機件故障引致。    意外發生後，筷子基坊會副理事長傅宇安等趕到現場了解情況。強調居家用電安全至為重要，如今踏入夏季，進入用電高峰，呼籲居民時刻提高安全用電意識，經常留意電器設備，尤其注意維護保養。,http://www.macaodaily.com/html/2024-05/12/content_1754425.htm,疑機件故障引致    電熱水爐爆炸冧牆無傷    【本報消息】沙梨頭新街聯薪廣場第三座某單位昨晚發生電熱水爐爆炸事故，導致涉事單位部分牆身倒塌，波及至少三個單位玻璃門窗損壞，事故中幸無人受傷及引發火警,疑機件 故障 引致         電熱水爐 爆炸 冧 牆 無傷         【 本報 消息 】 沙梨 頭 新街 聯薪 廣場 第三座 某 單位 昨晚 發生 電熱水爐 爆炸 事故 ， 導致 涉事 單位 部分 牆身 倒塌 ， 波及 至少 三個 單位 玻璃 門窗 損壞 ， 事故 中幸 無人受 傷及 引發 火警 。 經工務局 檢查 ， 認為 單位 沒 有 即 時 危險 ， 消防 將有 倒塌 危險 的 牆 身及 受損 的 玻璃窗 拆除 後 ， 收隊 離開 。         殃及 鄰近 單位         事發 於 昨晚 八時許 ， 消防 接獲 沙梨 頭 新街 聯薪 廣場 第三座 某 單位 發生 一宗 電熱水爐 爆炸事件 ， 消防 員到 場時 在 單位 內 沒 有 明火 。 經 了解 ， 單位 內 有 部分 牆身 倒塌 ， 事件 波及 鄰近 單位 牆身 有 裂痕 及 有 三個 單位 玻璃 門窗 損壞 ， 現場 沒有 傷者 ， 約 有 三十名 大廈 住戶 曾 自行 疏散 到 街上 。 經檢查 ， 事故 原因 懷疑 電熱水爐 機件 故障 引致 。 事件 已 通知 土地 工務局 跟 進 ， 經工務局 檢查 後 認為 沒 有 即 時 危險 ， 事故 原因 懷疑 電熱水爐 機件 故障 引致 。         意外 發生 後 ， 筷子 基坊 會 副 理事 長 傅宇安 等 趕到 現場 了解 情況 。 強調 居家 用電 安全 至 為 重要 ， 如今 踏入 夏季 ， 進入 用電 高峰 ， 呼籲 居民 時刻 提高 安全 用 電意識 ， 經常 留意 電器 設備 ， 尤其 注意 維護 保養 。,2024-05-12
放飛自我,放飛自我    嘉樂庇總督大橋兩側行人道昨起重開，吸引跑友上橋練習。    森 嬤   攝,http://www.macaodaily.com/html/2024-05/12/content_1754426.htm,放飛自我    嘉樂庇總督大橋兩側行人道昨起重開，吸引跑友上橋練習,放飛 自我         嘉樂 庇 總督大橋 兩側 行人 道 昨 起重 開 ， 吸引 跑友 上 橋練習 。         森   嬤       攝,2024-05-12
本地婦墮“公檢法”失十一萬,被指涉拐賣需財產審查    本地婦墮“公檢法”失十一萬    【本報消息】本地女子墮“公檢法”騙局，被指涉及拐賣小童需接受“財產審查”，事主向對方帳戶轉賬十一萬多港元，發現被騙報案。    案中女事主在上月廿九日收到“香港某政府部門”人員來電，聲稱事主涉及一宗拐賣小童案件，並將電話轉接至“內地公安”跟進。“公安”要求事主接受“視像調查”，同時向指定銀行帳戶轉賬以作“財產審查”。事主不虞有詐，向對方轉賬十一萬三千港元。直至近日在網上看到類似情節的詐騙新聞，懷疑被騙向司警報案，警方正對案件展開調查。,http://www.macaodaily.com/html/2024-05/12/content_1754427.htm,被指涉拐賣需財產審查    本地婦墮“公檢法”失十一萬    【本報消息】本地女子墮“公檢法”騙局，被指涉及拐賣小童需接受“財產審查”，事主向對方帳戶轉賬十一萬多港元，發現被騙報案,被 指涉 拐賣 需財產 審查         本地 婦 墮 “ 公檢法 ” 失 十一 萬         【 本報 消息 】 本地 女子 墮 “ 公檢法 ” 騙局 ， 被 指 涉及 拐賣 小童 需 接受 “ 財產 審查 ” ， 事主 向 對方 帳戶 轉賬 十一 萬多 港元 ， 發現 被 騙 報案 。         案中 女事主 在 上 月 廿九日 收到 “ 香港 某 政府 部門 ” 人員來電 ， 聲稱 事主 涉及 一宗 拐賣 小童 案件 ， 並將 電話 轉接 至 “ 內地 公安 ” 跟 進 。 “ 公安 ” 要求 事主 接受 “ 視像 調查 ” ， 同時 向 指定 銀行 帳戶 轉賬 以作 “ 財產 審查 ” 。 事主 不虞有 詐 ， 向 對方 轉賬 十一 萬 三千 港元 。 直至 近日 在 網上 看到 類似 情節 的 詐騙 新聞 ， 懷疑 被 騙 向 司警 報案 ， 警方正 對 案件 展開 調查 。,2024-05-12
卅四澳賽馬內地啟“新生活”,斗門完成三十天隔離檢疫    卅四澳賽馬內地啟“新生活”    【本報消息】拱北海關表示，昨日下午三時，卅四匹自澳門賽馬會引入內地的賽馬結束在珠海為期三十天的隔離檢疫生活，經拱北海關所屬斗門海關檢疫合格後，將被送往新疆、山西、河北等地，分別投入觀賞、演藝等用途。    為推進大灣區馬產業高質量發展，斗門海關順暢工作流程，規範開展入境後隔離檢疫，高效保障該批賽馬安全入境並開啟“新生活”。,http://www.macaodaily.com/html/2024-05/12/content_1754428.htm,斗門完成三十天隔離檢疫    卅四澳賽馬內地啟“新生活”    【本報消息】拱北海關表示，昨日下午三時，卅四匹自澳門賽馬會引入內地的賽馬結束在珠海為期三十天的隔離檢疫生活，經拱北海關所屬斗門海關檢疫合格後，將被送往新疆、山西、河北等地，分別投入觀賞、演藝等用途,斗門 完成 三十天 隔離 檢疫         卅四澳賽 馬 內 地啟 “ 新 生活 ”         【 本報 消息 】 拱 北海 關 表示 ， 昨日 下午 三時 ， 卅 四匹 自澳門 賽馬會 引入 內地 的 賽馬 結束 在 珠海 為期 三十天 的 隔離 檢疫 生活 ， 經拱 北海 關所屬 斗門 海關 檢疫 合格 後 ， 將被 送往 新疆 、 山西 、 河北 等 地 ， 分別 投入 觀賞 、 演藝 等 用途 。         為 推進 大灣區 馬 產業 高質量 發展 ， 斗門 海關 順暢 工作 流程 ， 規範 開展 入境 後 隔離 檢疫 ， 高效 保障 該 批賽 馬 安全 入境 並開啟 “ 新 生活 ” 。,2024-05-12
地盤女工疑高處墮下受傷,地盤女工疑高處墮下受傷    【本報消息】新城A區某地盤昨日下午發生一宗懷疑工傷事件，一名地盤女工疑從三米高處跌落地面，受傷送院。事件通報勞工局跟進。    下午三時許，消防接報新城A區馬萬祺博士大馬路某地盤懷疑發生工傷事件，救護員到場接觸五十五歲本地女傷者，其表示工作時從約三米高位置跌落地面。經檢查，傷者左上臂、左胸及左腹挫傷腫脹，清醒穩定，送往鏡湖醫院治理。,http://www.macaodaily.com/html/2024-05/12/content_1754430.htm,下午三時許，消防接報新城A區馬萬祺博士大馬路某地盤懷疑發生工傷事件，救護員到場接觸五十五歲本地女傷者，其表示工作時從約三米高位置跌落地面,地盤 女工 疑高處 墮下 受傷         【 本報 消息 】 新城 A 區 某地 盤 昨日 下午 發生 一宗 懷疑 工傷 事件 ， 一名 地盤 女工 疑從 三米 高處 跌落 地面 ， 受傷 送院 。 事件 通報 勞工局 跟 進 。         下午 三時許 ， 消防 接報 新城 A 區馬 萬祺 博士 大馬路 某地 盤懷疑 發生 工傷 事件 ， 救護員 到場 接觸 五十五 歲 本地 女傷者 ， 其 表示 工作 時 從 約 三米 高 位置 跌落 地面 。 經檢查 ， 傷者 左上臂 、 左 胸及 左腹 挫傷 腫脹 ， 清醒 穩定 ， 送往 鏡湖 醫院 治理 。,2024-05-12
黑沙環三車碰撞騎士送院,黑沙環三車碰撞騎士送院    【本報消息】黑沙環新街與東北大馬路交界昨傍晚發生一宗涉及一輛的士與兩輛電單車相撞交通事故，一男騎士受傷送院。治安警表示，事故起因初步懷疑有電單車追尾引致。    昨日傍晚近六時半，上述三車駛經上述路口交界時，一電單車疑剎車不及撞向前方電單車，前方電單車跌倒撞到旁邊的士車門。    消防救護員接報到場，四十二歲本澳男騎士四肢多處擦傷，清醒，送山頂醫院治理。,http://www.macaodaily.com/html/2024-05/12/content_1754431.htm,黑沙環三車碰撞騎士送院    【本報消息】黑沙環新街與東北大馬路交界昨傍晚發生一宗涉及一輛的士與兩輛電單車相撞交通事故，一男騎士受傷送院,黑沙 環三車 碰撞 騎士 送院         【 本報 消息 】 黑沙 環 新街 與 東 北大 馬 路 交界 昨 傍晚 發生 一宗 涉及 一輛 的士 與 兩輛 電單車 相撞 交通事故 ， 一男 騎士 受傷 送院 。 治安警 表示 ， 事故 起因 初步 懷疑 有電 單車 追尾 引致 。         昨日 傍晚 近六時 半 ， 上述 三車 駛經 上述 路口 交界 時 ， 一電 單車 疑剎車 不及 撞 向 前方 電單車 ， 前方 電單車 跌倒 撞 到 旁邊 的士 車門 。         消防 救護員 接報 到場 ， 四十二 歲 本澳 男 騎士 四肢 多處 擦傷 ， 清醒 ， 送山頂 醫院 治理 。,2024-05-12
