Title,Content,Link,Summary,Preprocessed_Content
澳大籌建橫琴新校,現校一半面積    獲准設高研院    澳大籌建橫琴新校    【本報消息】澳門大學昨日舉行“澳琴聯動——澳大開放日二○二四”，乃澳大首次在琴澳兩地同步舉辦的開放日。校長宋永華透露，澳大在國家有關部門支持及特區政府推動下，正籌備在橫琴建設新校園，面積將是現時澳大的一半，推出醫學、新工科、微電子、物聯網、人工智能、機械人及量化金融科技等系列課程。並獲准設立澳大橫琴高等研究院，進一步推進產學研結合。    新課視同在澳讀書    宋永華表示，《橫琴粵澳深度合作區總體發展規劃》明確支持澳門高校，在橫琴和世界名校聯合推進微電子、醫學、金融科技等辦學，允許在澳門持有本科教學資質的學校在橫琴設新課程，這些學生將視同在澳門讀書。自一八年起，澳大逐步擴大招生及學科設置，本科生維持穩定，每年招收約二千名學生，其中七成為本地生，保證本澳學生就讀。同時陸續推出系列研究生課程，目前在讀碩士、博士課程學生約六千人，全校學生共一萬三千五百人。今年將維持本科生規模穩定，繼續增收研究生、博士生，預計新學年澳大學生將突破一萬四千三百人，並按規劃未來三年達到一萬七千人。    擬建過渡教學中心    此外，珠海澳大科技研究院代院長陳國凱昨對赴琴採訪開放日的傳媒表示，將在橫琴興建的新校園附近，計劃建設面積約四千平方米的教學中心，在新校區建設過渡階段用於研究生教學和研究的平台。目前，珠海澳大科技研究院已獲政府科技資助項目超過一百五十項，包括國家自然科學基金資助項目九十六項、國家科技部重點專項及課題十一項、其他國家級專案六項、省市級科研項目四十三項，立項金額逾七千七百萬元。另已開展聯合研發、委託研究等商業項目超過一百二十三項，涵蓋微電子、中醫藥、智慧城市等領域，合同金額超過九千七百萬元。    澳大一三年啟琴校    回顧澳大發展，其前身東亞大學於一九八一年成立，並於一九九一年正式更名澳門大學至今。二○○九年，全國人大常委會授權澳門特區對設在橫琴島的澳門大學新校區實施管轄，佔地約一平方公里，新校園於二○一三年啟用。今年一月，澳大公佈大學正按國家發改委出台的《橫琴粵澳深度合作區總體發展規劃》有關政策，籌劃在深合區內建立新校區，值得期待。,http://www.macaodaily.com/html/2024-01/15/content_1729047.htm,新課視同在澳讀書    宋永華表示，《橫琴粵澳深度合作區總體發展規劃》明確支持澳門高校，在橫琴和世界名校聯合推進微電子、醫學、金融科技等辦學，允許在澳門持有本科教學資質的學校在橫琴設新課程，這些學生將視同在澳門讀書,現校 一半 面積         獲准 設高 研院         澳大籌 建橫琴 新校         【 本報 消息 】 澳門 大學 昨日 舉行 “ 澳琴 聯動 — — 澳大開 放日 二 ○ 二四 ” ， 乃 澳大 首次 在 琴 澳兩地 同步 舉辦 的 開放日 。 校長 宋永華 透露 ， 澳大 在 國家 有 關部門 支持 及 特區 政府 推動 下 ， 正籌備 在 橫琴 建設 新 校園 ， 面積將 是 現時 澳大 的 一半 ， 推出 醫學 、 新 工科 、 微電子 、 物聯網 、 人工智能 、 機械 人及 量化 金融 科技 等 系列 課程 。 並獲准 設立 澳大橫琴 高等 研究院 ， 進 一步 推進 產學 研結合 。         新 課視同 在 澳讀 書         宋永華 表示 ， 《 橫琴粵澳 深度 合作 區總體 發展 規劃 》 明確 支持 澳門 高校 ， 在 橫琴 和 世界 名校 聯合 推進 微電子 、 醫學 、 金融 科技 等 辦學 ， 允許 在 澳門 持有 本科 教學 資質 的 學校 在 橫琴 設新 課程 ， 這些 學生 將視同 在 澳門 讀書 。 自一 八年 起 ， 澳大 逐步 擴大 招生 及學科 設置 ， 本科生 維持 穩定 ， 每年 招收 約 二千名 學生 ， 其中 七成 為 本地 生 ， 保證本 澳學 生就 讀 。 同時 陸續 推出 系列 研究生 課程 ， 目前 在 讀碩士 、 博士 課程 學生 約 六千人 ， 全校 學生 共 一萬 三千五百 人 。 今年 將維持 本科生 規模 穩定 ， 繼續 增收 研究生 、 博士生 ， 預計 新學年 澳大學 生將 突破 一萬 四千 三百 人 ， 並按 規劃 未來 三年 達到 一萬 七千 人 。         擬建過 渡教學 中心         此外 ， 珠海 澳大 科技 研究院 代院 長 陳 國凱 昨對 赴 琴 採訪 開放日 的 傳媒 表示 ， 將在 橫琴 興建 的 新 校園 附近 ， 計劃 建設 面積 約 四千 平方米 的 教學 中心 ， 在 新 校區 建設 過渡 階段 用 於 研究生 教學 和 研究 的 平台 。 目前 ， 珠海 澳大 科技 研究院 已獲 政府 科技 資助 項目 超過 一百五十 項 ， 包括 國家 自然科 學 基金 資助 項目 九十六 項 、 國家 科技部 重點 專項 及 課題 十一 項 、 其他 國家級 專案 六項 、 省市 級 科研 項目 四十三 項 ， 立項 金額 逾 七千 七百 萬元 。 另 已 開展 聯合 研發 、 委 託 研究 等 商業 項目 超過 一百二十 三項 ， 涵蓋 微電子 、 中醫藥 、 智慧 城市 等 領域 ， 合同 金額 超過 九千 七百 萬元 。         澳大一 三年 啟琴校         回顧 澳大 發展 ， 其 前身 東亞大學 於 一九八一年 成立 ， 並 於 一九九一年 正式 更名 澳門 大學 至今 。 二 ○ ○ 九年 ， 全國 人大 常委 會 授權 澳門 特區 對 設 在 橫琴島 的 澳門 大學 新 校區 實施 管轄 ， 佔 地 約 一 平方公里 ， 新校園 於 二 ○ 一 三年 啟用 。 今年 一月 ， 澳 大公 佈 大學正 按國家發 改委 出台 的 《 橫琴粵澳 深度 合作 區總體 發展 規劃 》 有關 政策 ， 籌劃 在 深合區 內 建立 新校區 ， 值得 期待 。
司警局檢察院遭縱火警拘一嫌,司警局檢察院遭縱火警拘一嫌    【本報消息】司警局總部大樓及檢察院昨日先後遭人縱火，警方拘捕一名本澳男子，詳請有待公佈。司警局昨晚近十時半通知，指昨下午二時廿五分，新口岸司警總部保安員發現門外停泊的警車車底起火，約半小時後近下午三時，檢察院門口亦有物品起火，檢察院職員通知司警派員處理。    今早公佈案情    司警表示，由於兩宗案件涉及針對政府部門的嚴重犯罪，局方高度重視，經調查後迅速鎖定兩宗案件為同一作案人，並於同日下午拘捕一名本澳男子。相關案件詳請於今日上午十時三十分舉行特別新聞發佈會公佈。    另據消防方面的消息稱，司警局門前火警沒有接報；檢察院門前火警，消防員到場前已被職員救熄，現場檢察院正門捲閘有燻黑，事件中沒有疏散，亦無人受傷。,http://www.macaodaily.com/html/2024-01/15/content_1729048.htm,司警局檢察院遭縱火警拘一嫌    【本報消息】司警局總部大樓及檢察院昨日先後遭人縱火，警方拘捕一名本澳男子，詳請有待公佈,司 警局 檢 察院 遭縱 火警 拘一嫌         【 本報 消息 】 司 警局 總部 大樓 及檢 察院 昨日 先後遭 人 縱火 ， 警方 拘捕 一名 本澳 男子 ， 詳請 有待 公 佈 。 司 警局 昨晚 近十時 半 通知 ， 指 昨 下午 二時 廿五 分 ， 新 口岸 司警 總部 保安 員發 現門外 停泊 的 警車 車底 起火 ， 約 半小時後近 下午 三時 ， 檢 察院 門口 亦 有 物品 起火 ， 檢 察院 職員 通知 司警 派員 處理 。         今早 公 佈 案情         司警 表示 ， 由 於 兩宗 案件 涉及 針對 政府 部門 的 嚴重 犯罪 ， 局方 高度 重視 ， 經調查 後 迅速 鎖定 兩宗 案件 為 同一 作案人 ， 並 於 同日 下午 拘捕 一名 本澳 男子 。 相關 案件 詳請 於 今日 上午 十時 三十分 舉行 特別 新聞發 佈 會公 佈 。         另據 消防 方面 的 消息 稱 ， 司 警局 門前 火警 沒有 接報 ； 檢 察院 門前 火警 ， 消防 員到 場前 已 被 職員救 熄 ， 現場檢 察院 正門 捲 閘有 燻 黑 ， 事件 中 沒 有 疏散 ， 亦 無人 受傷 。
澳大昨辦開放日展教學成果,澳大昨辦開放日展教學成果    新學年增設多項碩博課程    【本報消息】澳門大學昨日舉辦“澳琴聯動——澳大開放日二○二四”。校長宋永華指，開放日同步開放澳大校園和珠研院，體現澳大“立足澳門、共建灣區、融入國家、走向世界”的發展定位。為配合特區政府“一加四”經濟適度多元發展策略、橫琴粵澳深度合作區及國家發展需要，將於新學年開設藝術碩士、商業分析碩士、藝術博士、公共衛生博士等系列新課程。    開幕式昨日上午十一時於澳大伍宜孫圖書館廣場舉行，宋永華、教青局學生廳長陳旭偉、澳門天主教學校聯會理事長黃彪、澳門中華教育會副理事長楊佩欣、澳門大學校友會理事長葛萬金、澳門大學學生會會員大會主席吳健豪及澳門大學研究生會理事長馬真主禮。    校園研院同時開放    今年開放日主題為“澳琴聯動”，澳大各個學院、書院、實驗室、圖書館、體育館及位於橫琴的珠海澳大科技研究院等均開放參觀，透過現場專人回答諮詢、學術講座及展覽，讓大眾了解澳大的課程資訊、住宿式書院制度及發展成果。澳大期望透過開放日，幫助準備升讀大學的學生了解心儀的課程和大學生活環境，及早做好升學規劃。    多元體驗課程特色    有學生表示，澳大學術氛圍濃厚，教學設施完善，自己對大學生活充滿憧憬，期待成為澳大一分子。有來自橫琴的家長特意到澳大了解課程特色和辦學理念，指澳大是一所國際化大學，希望孩子能到澳大升學，成為具備國際視野及全球競爭力的人才。    此外，開放日還設運動體驗、元宇宙賽車遊戲體驗、趣味工作坊、科學實驗、才藝表演、攤位遊戲、“做一日大學生”體驗之旅等多元活動，讓參加者體驗校園生活的同時，加深對澳大最新發展的了解。,http://www.macaodaily.com/html/2024-01/15/content_1729049.htm,校園研院同時開放    今年開放日主題為“澳琴聯動”，澳大各個學院、書院、實驗室、圖書館、體育館及位於橫琴的珠海澳大科技研究院等均開放參觀，透過現場專人回答諮詢、學術講座及展覽，讓大眾了解澳大的課程資訊、住宿式書院制度及發展成果,澳大 昨辦 開放日 展教 學 成果         新學年 增設 多項 碩博 課程         【 本報 消息 】 澳門 大學 昨日 舉辦 “ 澳琴 聯動 — — 澳大開 放日 二 ○ 二四 ” 。 校長 宋永華指 ， 開放日 同步 開放澳 大校 園和珠 研院 ， 體現 澳大 “ 立足 澳門 、 共建 灣區 、 融入 國家 、 走向世界 ” 的 發展 定位 。 為 配合 特區 政府 “ 一加 四 ” 經濟 適度 多元 發展 策略 、 橫琴粵澳 深度 合作 區及 國家 發展 需要 ， 將於新學 年 開設 藝術 碩士 、 商業 分析 碩士 、 藝術 博士 、 公共 衛生 博士 等 系列 新 課程 。         開幕式 昨日 上午 十一 時 於 澳大伍 宜孫 圖書館 廣場 舉行 ， 宋永華 、 教青局 學生廳 長 陳 旭偉 、 澳門 天主教 學校 聯會 理事 長 黃 彪 、 澳門 中華 教育 會 副 理事 長 楊佩欣 、 澳門 大學 校友 會 理事 長 葛萬金 、 澳門 大學學 生會 會員大會 主席 吳健 豪及 澳門 大學 研究生 會 理事 長 馬 真主 禮 。         校園 研院 同時 開放         今年 開放日 主題 為 “ 澳琴 聯動 ” ， 澳大 各個 學院 、 書院 、 實驗室 、 圖書館 、 體育館 及位 於 橫琴 的 珠海 澳大 科技 研究院 等 均 開放 參觀 ， 透過 現場 專人 回答 諮 詢 、 學術 講座 及 展覽 ， 讓 大眾 了解 澳大 的 課程 資訊 、 住宿 式 書院 制度 及 發展 成果 。 澳大 期望 透過 開放日 ， 幫助 準備 升讀 大學 的 學生 了解 心儀 的 課程 和 大學 生活 環境 ， 及早 做好 升學 規劃 。         多元 體驗 課程 特色         有學生 表示 ， 澳大學術 氛圍 濃厚 ， 教學 設施 完善 ， 自己 對大學 生活 充滿 憧憬 ， 期待 成為 澳大一 分子 。 有來 自橫琴 的 家長 特意 到 澳大 了解 課程 特色 和 辦學 理念 ， 指澳大 是 一所 國際化 大學 ， 希望 孩子 能到 澳大升學 ， 成為 具備 國際視 野及 全球 競爭力 的 人才 。         此外 ， 開放日 還設 運動 體驗 、 元 宇宙 賽車 遊戲 體驗 、 趣味 工作坊 、 科學 實驗 、 才藝 表演 、 攤位 遊戲 、 “ 做 一日 大學生 ” 體驗 之 旅等 多元 活動 ， 讓 參加者 體驗 校園 生活 的 同時 ， 加深 對 澳大 最新 發展 的 了解 。
教委：灣區教育集群新示範,教委：灣區教育集群新示範    【本報消息】教育委員會委員陳虹認為，澳大有意在橫琴開辦新校區，這是進一步推動琴澳一體化，深度貫徹落實《橫琴粵澳深度合作區總體發展規劃》，將為豐富大灣區教育集群發展、創新教育集群作出新的示範。    如《規劃》所指，為加快高質素人才培養，允許已獲教育部批准具有在內地招收本科生資質的澳門高校，在深合區開展與培養本科生及研究生相關的教學及實驗，其聘任的愛國愛澳澳門教師可在深合區開展跨境教學，其內地籍學生在深合區接受跨境教學時間，可獲得境外（澳門）學歷學位認可等。支持深合區科研院所和企業設立博士後科研工作站，探索與澳門高校建立研究生聯合培養機制，在深合區建設澳門大學高校研究生宿舍及附屬設施。    助澳多元儲備人才    陳虹認為，澳大若在深合區開設新校園，可為推動澳門高等教育發展帶來新的機遇，為促進“一加四”經濟適度多元發展策略和人才培養注入新的動力。希望政府、企業、高校之間加強合作，做好政策引導，為灣區尤其澳門經濟多元儲備更多優秀人才。澳門青年學生應志存高遠，積極裝備自己，提升競爭力，把握發展機遇。    今年迎來新中國成立七十五周年及澳門回歸祖國廿五周年的雙慶年，感謝國家於此際對澳門教育事業再次給予大力支持，令教育界同人深受鼓舞，未來將繼續加強合作，肩負育人使命。    課程緊扣四新產業    教育委員會委員陳偉斌認為，隨着澳門高校在深合區逐步發展，將吸引更多澳門學生乃至不同地區的優秀學子前往深合區，與之建立更深厚的聯繫，為深合區未來發展儲備各領域的青年人才，實現“教育興深合區”之效。    澳大在橫琴的新校園將推出以醫學、新工科、微電子、物聯網、人工智能及量化金融科技等一系列課程，是緊扣澳門新興產業及橫琴四新產業方向，待校園在各方支持下正式建設完成後，將以深合區為基地，加快產學研轉化。澳門高校將在新空間上深化人才培養成效，助力建設深合區新篇章。,http://www.macaodaily.com/html/2024-01/15/content_1729050.htm,課程緊扣四新產業    教育委員會委員陳偉斌認為，隨着澳門高校在深合區逐步發展，將吸引更多澳門學生乃至不同地區的優秀學子前往深合區，與之建立更深厚的聯繫，為深合區未來發展儲備各領域的青年人才，實現“教育興深合區”之效,教委 ： 灣區 教育 集群 新示範         【 本報 消息 】 教育 委員會 委員陳虹 認為 ， 澳大 有意 在 橫琴 開辦 新 校區 ， 這是 進 一步 推動琴 澳一體化 ， 深度 貫徹 落實 《 橫琴粵澳 深度 合作 區總體 發展 規劃 》 ， 將為 豐富 大灣區 教育 集群 發展 、 創新 教育 集群 作出 新 的 示範 。         如 《 規劃 》 所指 ， 為 加快 高質素 人才 培養 ， 允許 已 獲 教育部 批准 具有 在 內 地 招收 本科生 資質 的 澳門 高校 ， 在 深合區 開展 與 培養 本科生 及 研究生 相關 的 教學及 實驗 ， 其 聘任 的 愛國 愛澳 澳門 教師 可 在 深合區 開展 跨境 教學 ， 其內 地籍 學生 在 深合區 接受 跨境 教學 時間 ， 可獲 得 境外 （ 澳門 ） 學歷 學位 認可 等 。 支持 深合區 科研院所 和 企業 設立 博士 後 科研 工作站 ， 探索 與 澳門 高校 建立 研究生 聯合 培養 機制 ， 在 深合區 建設 澳門 大學 高校 研究生 宿舍 及 附屬 設施 。         助澳 多元 儲備 人才         陳 虹 認為 ， 澳大若 在 深合區 開設 新 校園 ， 可為 推動 澳門 高等教育 發展 帶來 新 的 機遇 ， 為 促進 “ 一加 四 ” 經濟 適度 多元 發展 策略 和 人才 培養 注入 新 的 動力 。 希望 政府 、 企業 、 高校 之間 加強 合作 ， 做好 政策 引導 ， 為灣區 尤其 澳門 經濟 多元 儲備 更 多 優秀 人才 。 澳門 青年 學生 應志存 高遠 ， 積極 裝備 自己 ， 提升 競爭力 ， 把握 發展 機遇 。         今年 迎來 新 中國 成立 七十五 周年 及 澳門 回歸祖國 廿五 周年 的 雙慶年 ， 感謝 國家 於 此際 對 澳門 教育 事業 再次 給予 大力支持 ， 令 教育界 同 人 深受鼓舞 ， 未來 將繼續 加強 合作 ， 肩負 育人 使命 。         課程 緊扣 四新產業         教育 委員會 委員陳偉斌 認為 ， 隨着 澳門 高校 在 深合區 逐步 發展 ， 將 吸引 更多 澳門 學生 乃至 不同 地區 的 優秀學子 前往 深合區 ， 與 之 建立 更 深厚 的 聯 繫 ， 為 深合區 未來 發展 儲備 各 領域 的 青年 人才 ， 實現 “ 教育 興深 合區 ” 之效 。         澳大 在 橫琴 的 新校 園將 推出 以醫學 、 新 工科 、 微電子 、 物聯網 、 人工智能 及 量化 金融 科技 等 一系列 課程 ， 是 緊扣 澳門 新興產業 及 橫琴 四新產業 方向 ， 待 校園 在 各方 支持 下 正式 建設 完成 後 ， 將以 深合區 為 基地 ， 加快 產學研 轉化 。 澳門 高校 將在 新空間 上 深化 人才 培養 成效 ， 助力 建設 深合區 新篇章 。
四車碰撞兩騎士輕傷,四車碰撞兩騎士輕傷    經包紮由消防送院治理    【本報消息】氹仔蓮花海濱大馬路昨午發生涉及四車碰撞意外，導致兩名男騎士受傷送院，所幸傷勢並無大礙。消防及警員跟進，確切起因待查。    昨日下午近一時半，警方接報上址近編號758A02燈柱位置發生交通意外，警員及消防分別到場，證實涉及一輛的士、一輛私家車及兩輛電單車懷疑碰撞，兩名本地男子連人帶車倒地受傷，其中二十五歲男子右膝擦傷，三十三歲男子前額及上唇擦傷，經消防初步包紮後，一併送山頂醫院治理。警員向在場人士了解事件並拍照存檔，涉事電單車被拖車移走處理。意外確切起因有待交通廳進一步查明。,http://www.macaodaily.com/html/2024-01/15/content_1729015.htm,昨日下午近一時半，警方接報上址近編號758A02燈柱位置發生交通意外，警員及消防分別到場，證實涉及一輛的士、一輛私家車及兩輛電單車懷疑碰撞，兩名本地男子連人帶車倒地受傷，其中二十五歲男子右膝擦傷，三十三歲男子前額及上唇擦傷，經消防初步包紮後，一併送山頂醫院治理,四車 碰撞 兩騎士 輕傷         經包 紮 由 消防 送院 治理         【 本報 消息 】 氹 仔蓮 花海 濱大馬路 昨午 發生 涉及 四車 碰撞 意外 ， 導致 兩名 男 騎士 受傷 送院 ， 所幸 傷勢 並無大礙 。 消防 及 警員 跟 進 ， 確切 起因 待查 。         昨日 下午 近一時 半 ， 警方 接報 上址 近 編號 758A02 燈柱 位置 發生 交通 意外 ， 警員及 消防 分別 到場 ， 證實 涉及 一輛 的士 、 一輛 私家 車及 兩輛 電單 車懷疑 碰撞 ， 兩名 本地 男子 連人 帶車 倒地 受傷 ， 其中 二十五 歲 男子 右膝 擦傷 ， 三十三 歲 男子 前額 及 上唇 擦傷 ， 經 消防 初步 包 紮 後 ， 一 併 送 山頂 醫院 治理 。 警員向 在場 人士 了解 事件 並 拍照 存檔 ， 涉事 電單車 被 拖車 移走 處理 。 意外 確切 起因 有待 交通 廳進 一步 查明 。
私家車撞毀行人道圍欄,私家車撞毀行人道圍欄    【本報消息】氹仔近孫逸仙博士圓形地昨日中午發生一輛私家車疑失控撞毀行人道圍欄的交通事故，事件中無人受傷，事故起因待查。    昨日中午近十二時，一名男子駕駛私家車沿孫逸仙博士圓形地左轉入一小路（一號臨時路）往波爾圖街方向行駛，當車甫轉入小路疑旋即失控撞向左邊行人道的圍欄。事故發生後，有人報警，兩名交通警員到場處理，向男司機了解事故經過。交通警員用膠帶圍封損毀的圍欄，提醒途人小心。涉事私家車左邊車頭“泵把”撞爛，事後移走處理。,http://www.macaodaily.com/html/2024-01/15/content_1729016.htm,私家車撞毀行人道圍欄    【本報消息】氹仔近孫逸仙博士圓形地昨日中午發生一輛私家車疑失控撞毀行人道圍欄的交通事故，事件中無人受傷，事故起因待查,私家 車撞毀 行人 道 圍欄         【 本報 消息 】 氹 仔近孫 逸仙 博士 圓形 地 昨日 中午 發生 一輛 私家 車疑 失控 撞毀 行人 道 圍欄 的 交通事故 ， 事件 中無人 受傷 ， 事故 起因 待查 。         昨日 中午 近 十二 時 ， 一名 男子 駕駛 私家 車沿孫 逸仙 博士 圓形 地 左 轉入 一 小路 （ 一號 臨時路 ） 往波爾圖 街 方向 行駛 ， 當車甫 轉入 小路 疑 旋即 失控 撞 向 左邊 行人 道 的 圍欄 。 事故 發生 後 ， 有人 報警 ， 兩名 交通警 員到場 處理 ， 向 男司機 了解 事故 經過 。 交通警 員用 膠帶 圍封 損毀 的 圍欄 ， 提醒 途人 小心 。 涉事 私家 車左邊 車頭 “ 泵 把 ” 撞爛 ， 事 後 移走 處理 。
治安警進校宣傳交安,治安警進校宣傳交安    【本報消息】為增進學生對交通規則的了解和認識，治安警交通廳人員上周一及周三分別到鏡平學校（幼稚園）和明愛幼稚園進行交通安全講座，共約六百四十名師生參與，藉着講座讓學生學習正確的交通安全知識。    講座上，治安警向師生介紹交通警員的日常工作、裝備、常見交通事故及成因等；在問答環節中，學生均積極參與，治安警耐心解答問題，加深他們對交通安全的理解。隨後，“卡通sir”出場，透過模擬日常過路情境，指導學生正確使用行人過路設施，使他們了解交通安全的重要性。    治安警表示，冀透過“警校聯絡機制”持續到本澳各校進行交通安全講座，將交通安全資訊普及到校園，從小培養學生正確的交通安全觀。,http://www.macaodaily.com/html/2024-01/15/content_1729018.htm,治安警進校宣傳交安    【本報消息】為增進學生對交通規則的了解和認識，治安警交通廳人員上周一及周三分別到鏡平學校（幼稚園）和明愛幼稚園進行交通安全講座，共約六百四十名師生參與，藉着講座讓學生學習正確的交通安全知識,治安警 進校 宣傳 交安         【 本報 消息 】 為 增進 學生 對 交通 規則 的 了解 和 認識 ， 治安警 交通 廳 人員 上周 一及 周 三分 別到 鏡 平學校 （ 幼稚 園 ） 和 明愛 幼稚 園進行 交通安全 講座 ， 共約 六百 四十名 師生 參 與 ， 藉 着 講座 讓 學生 學習 正確 的 交通安全 知識 。         講座 上 ， 治安警 向 師生 介紹 交通警 員 的 日常 工作 、 裝備 、 常見 交通事故 及 成因 等 ； 在 問答 環節 中 ， 學生 均 積極 參 與 ， 治安警 耐心 解答 問題 ， 加深 他們 對 交通安全 的 理解 。 隨後 ， “ 卡通 sir ” 出場 ， 透過 模擬 日常 過路 情境 ， 指導 學生 正確 使用 行人 過路 設施 ， 使 他們 了解 交通安全 的 重要性 。         治安警 表示 ， 冀透過 “ 警校 聯絡 機制 ” 持續 到 本澳 各校 進行 交通安全 講座 ， 將 交通安全 資訊 普及 到校 園 ， 從小培養 學生 正確 的 交通安全 觀 。
消防局落區宣傳冬防,消防局落區宣傳冬防    【本報消息】為加強居民冬季期間預防火災意識和一氧化碳中毒的警惕性，消防局針對冬防火災特點於上周四開展冬季防火宣傳活動，提醒居民及各界提升對防火安全的重視及意識。    上周四，消防局派員到三盞燈一帶進行冬防宣傳，向沿途居民及商戶傳遞冬季防火資訊，派發消防局今年的年曆，透過年曆傳遞各項防火知識，同時講解當中的各項防火知識，包括家居防火注意事項、用電安全、一氧化碳中毒成因及危害等。同時，亦重點提醒居民，冬季天氣乾燥，切勿留下火種，外出及休息前應將爐具及電器關上等，從而增強居民對冬季火災危機的防範和遇火災時的應急能力。,http://www.macaodaily.com/html/2024-01/15/content_1729020.htm,上周四，消防局派員到三盞燈一帶進行冬防宣傳，向沿途居民及商戶傳遞冬季防火資訊，派發消防局今年的年曆，透過年曆傳遞各項防火知識，同時講解當中的各項防火知識，包括家居防火注意事項、用電安全、一氧化碳中毒成因及危害等,消防局 落區 宣傳 冬防         【 本報 消息 】 為 加強 居民 冬季 期間 預 防火 災意識 和 一氧化碳 中毒 的 警惕性 ， 消防局 針對 冬 防火 災特點 於 上周四 開展 冬季 防火 宣傳 活動 ， 提醒 居民 及 各界 提升 對 防火 安全 的 重視及 意識 。         上周四 ， 消防局 派員到 三盞 燈 一帶 進行 冬防 宣傳 ， 向 沿途 居民 及 商戶 傳遞 冬季 防火 資訊 ， 派發 消防局 今年 的 年 曆 ， 透過 年 曆 傳遞 各項 防火 知識 ， 同時 講解 當中 的 各項 防火 知識 ， 包括 家居 防火 注意 事項 、 用電 安全 、 一氧化碳 中毒 成因 及 危害 等 。 同時 ， 亦 重點 提醒 居民 ， 冬季 天氣 乾燥 ， 切勿 留下 火種 ， 外出 及 休息 前應 將爐 具及 電器 關上 等 ， 從 而 增強 居民 對 冬季 火災 危機 的 防範 和 遇火 災時 的 應急 能力 。
刷單騙局本地女失六千五,刷單騙局本地女失六千五    【本報消息】一名本澳女子墮兼職刷單騙局，日前在網上應聘“線上訂單助理員”，最終完成任務後無法取回本金及佣金，並被不同理由索款，被騙六千五百多澳門元。司警接報調查案件，暫未有人被捕。    司警表示，案中的本澳女事主為青年，其報稱於本月四日透過網上平台招聘廣告，點入連結聯絡對方客服應聘“線上訂單助理員”，“客服”介紹工作內容是墊支買貨，完成後會連本金及佣金一同退回。事主信以為真，提交個人資料後，成功進行了兩次“訂單任務”及取回款項。    接下來女事主繼續“任務”，合共支付六千五百多澳門元貨款，但遲遲無法取回本金及佣金。經追問“客服”，對方要求事主需繼續加碼做“任務”才可一併取回款項，女事主感到可疑，懷疑受騙，拒絕後報警求助，報稱損失六千五百多澳門元。,http://www.macaodaily.com/html/2024-01/15/content_1729022.htm,刷單騙局本地女失六千五    【本報消息】一名本澳女子墮兼職刷單騙局，日前在網上應聘“線上訂單助理員”，最終完成任務後無法取回本金及佣金，並被不同理由索款，被騙六千五百多澳門元,刷單 騙局 本地 女失 六 千五         【 本報 消息 】 一名 本澳 女子 墮 兼 職刷 單騙局 ， 日前 在 網上 應聘 “ 線上 訂單 助理 員 ” ， 最終 完成 任務後無法 取回 本金 及 佣金 ， 並被 不同 理由 索款 ， 被 騙 六千五百 多 澳門元 。 司警 接報 調查 案件 ， 暫未 有人 被捕 。         司警 表示 ， 案中 的 本澳 女事主 為 青年 ， 其報 稱 於 本月 四日 透過 網上 平台 招聘 廣告 ， 點入 連結 聯絡 對方 客服 應聘 “ 線上 訂單 助理 員 ” ， “ 客服 ” 介紹 工作 內容 是 墊 支買貨 ， 完成 後 會連 本金 及 佣金 一同 退回 。 事主 信以 為 真 ， 提交 個 人 資料 後 ， 成功 進行 了 兩次 “ 訂單 任務 ” 及 取回 款項 。         接下 來 女事主 繼續 “ 任務 ” ， 合共 支付 六千五百 多 澳門元 貨款 ， 但 遲 遲無法 取回 本金 及 佣金 。 經追問 “ 客服 ” ， 對方 要求 事主 需繼續 加碼 做 “ 任務 ” 才 可 一 併 取回 款項 ， 女事主 感到 可疑 ， 懷疑 受 騙 ， 拒絕 後 報警 求助 ， 報稱 損失 六千五百 多 澳門元 。
女子墮演唱會詐騙失二千,女子墮演唱會詐騙失二千    【本報消息】本地女青年墮演唱會門票騙局，事主支付一千九百八十港元訂金後一直未有消息，多次聯絡不果懷疑被騙向司警報案，警方正調查案件。    案中女事主日前在社交平台看到一則出售演唱會門票的貼文，與對方聯絡後，雙方協議以三千九百六十港元購買兩張前日在澳門舉行的演唱會門票，並於本月七日轉賬一千九百八十港元訂金，相約前日在演唱會現場交收。    事主轉賬後一直未有消息，多次查詢未獲回應，最終更與對方失聯。由於無法與對方聯繫，擔心被騙，本月九日向司警報案，警方正調查案件。,http://www.macaodaily.com/html/2024-01/15/content_1729023.htm,女子墮演唱會詐騙失二千    【本報消息】本地女青年墮演唱會門票騙局，事主支付一千九百八十港元訂金後一直未有消息，多次聯絡不果懷疑被騙向司警報案，警方正調查案件,女子 墮 演唱 會詐 騙失 二千         【 本報 消息 】 本地 女 青年 墮 演唱 會門票 騙局 ， 事主 支付 一千 九 百八十 港元 訂金 後 一直 未有 消息 ， 多次 聯絡 不果 懷疑 被 騙 向 司警 報案 ， 警方正 調查 案件 。         案中 女事主 日前 在 社交 平台 看到 一則 出售 演唱 會門票 的 貼文 ， 與 對 方聯絡 後 ， 雙方 協議 以 三千 九百 六十 港元 購買 兩張 前日 在 澳門 舉行 的 演唱 會門票 ， 並 於 本月 七日 轉賬 一千 九 百八十 港元 訂金 ， 相約 前日 在 演唱 會 現場 交收 。         事主 轉賬 後 一直 未有 消息 ， 多次 查詢 未 獲 回應 ， 最終 更 與 對方 失聯 。 由 於 無法 與 對方 聯 繫 ， 擔心 被 騙 ， 本月 九日 向 司警 報案 ， 警方正 調查 案件 。
